anomaly_class,match_key,title_as_printed,appears_in,resolved_by,disposition,note
variant form,dontexplain,Don’t Explain,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,dontgetaroundmuchanymore,Don't Get Around Much Anymore,Index; log 201; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,dontgetaroundmuchanymore,Dont' Get Around Much Any More,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,dontyouknowicare,Don't You Know I Care,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,dontyouknowicare,Don't You Know I Care?,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,eastofthesun,East Of The Sun And West Of The Moon,log,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,eastofthesun,East of the Sun,Index,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,eastofthesun,East of the Sun (and West of the Moon),ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,easytolove,Easy To Love,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,easytolove,Easy to Love,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,endofaloveaffair,The End Of A Love Affair,Index; log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,endofaloveaffair,The End of a Love Affair,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,esp,E.S.P.,Index; chapter; log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,esp,ESP,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,eternaltriangle,Eternal Triangle,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,eternaltriangle,The Eternal Triangle,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,everythinghappenstome,Everything Happens To Me,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,everythinghappenstome,Everything Happens to Me,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,evrytimewesaygoodbye,Ev'ry Time We Say Goodbye,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,evrytimewesaygoodbye,Ev’ry Time We Say Goodbye,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,feefifofum,Fee Fi Fo Fum,log; log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,feefifofum,Fee-Fi-Fo-Fum,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,flintstones,(Meet) The Flintstones,chapter; residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,flintstones,"Flintstones, The",survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,flymetothemoon,Fly Me To The Moon,log 201,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,flymetothemoon,Fly Me To the Moon,log,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,flymetothemoon,Fly Me to the Moon,Index,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,flymetothemoon,Fly Me to the Moon (In Other Words),ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,foggyday,A Foggy Day,Index; log 201; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,foggyday,Foggy Day,log,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,foggyday,"Foggy Day, A",survey L2; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,foolsrushin,Fools Rush in,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,foolsrushin,Fools Rush in (Where Angels Fear to Tread),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,forheavenssake,For Heaven's Sake,log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,forheavenssake,For Heaven’s Sake,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,fourinone,Four In One,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,fourinone,Four in One,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,fouronsix,Four On Six,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,fouronsix,Four on Six,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,freddiefreeloader,Freddie Freeloader,Index; chapter; log; log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,freddiefreeloader,Freddie the Freeloader,survey cat,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,geebabyaintigoodtoyou,Gee Baby Ain't I Good To You,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,geebabyaintigoodtoyou,Gee Baby Ain't I Good to You,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,georgiaonmymind,Georgia,log,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,georgiaonmymind,Georgia On My Mind,log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,georgiaonmymind,Georgia on My Mind,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,ghostofachance,(I Don't Stand A) Ghost of a Chance,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ghostofachance,Ghost of a Chance (I Don't Stand A),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,girlfromipanema,Girl From Ipanema,log,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,girlfromipanema,Girl from Ipanema,survey L1; survey graded,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,girlfromipanema,The Girl From Ipanema,Index; log 201,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,girlfromipanema,The Girl from Ipanema,ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,gloriasstep,Gloria's Step,chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,gloriasstep,Gloria’s Step,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,gonewiththewind,Gone With The Wind,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,gonewiththewind,Gone with the Wind,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,groovinhigh,Groovin High,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,groovinhigh,Groovin' High,Index; log; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,hackensack,Hackensack,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,hackensack,Hackensack (AKA Rifftide),Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,haveyoumetmissjones,Have You Met Miss Jones,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,haveyoumetmissjones,Have You Met Miss Jones?,survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,heresthatrainyday,Here's That Rainy Day,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,heresthatrainyday,Here's that Rainy Day,survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,howdeepistheocean,How Deep Is The Ocean,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,howdeepistheocean,How Deep Is the Ocean?,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,howdeepistheocean,How Deep is the Ocean?,survey L2; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,howhighthemoon,How High The Moon,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,howhighthemoon,How High the Moon,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,icantgetstarted,I Can't Get Started,Index; log; log 201; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,icantgetstarted,I Can't Get Started (with You),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,icouldwriteabook,I Could Write A Book,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,icouldwriteabook,I Could Write a Book,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ificouldbewithyou,If I Could Be with You,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ificouldbewithyou,If I Could Be with You (One Hour Tonight),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ifiwereabell,If I Were A Bell,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,ifiwereabell,If I Were a Bell,Index; ranking; survey L2,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,ifiwereabell,If I were a Bell,survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,iheararhapsody,I Hear A Rhapsody,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,iheararhapsody,I Hear a Rhapsody,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,imbeginningtoseethelight,I'm Beginning To See The Light,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,imbeginningtoseethelight,I'm Beginning to See the Light,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,inamellotone,In A Mellow Tone,log; log 201,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,inamellotone,In a Mellotone,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,inamellotone,In a Mellow Tone,survey L1; survey graded,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,inasentimentalmood,In A Sentimental Mood,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,inasentimentalmood,In a Sentimental Mood,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,indiana,Back Home Again In Indiana,log 201,declared fold,fold to match_key,one composition printed 4 ways across the sources
variant form,indiana,Back Home Again in Indiana,survey L2; survey graded,declared fold,fold to match_key,one composition printed 4 ways across the sources
variant form,indiana,Indiana,Index,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,indiana,Indiana (Back Home Again in Indiana),ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,itcouldhappentoyou,It Could Happen To You,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itcouldhappentoyou,It Could Happen to You,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itdontmeanathing,It Don't Mean A Thing,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itdontmeanathing,It Don't Mean a Thing,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ithadtobeyou,It Had To Be You,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ithadtobeyou,It Had to Be You,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itmightaswellbespring,It Might As Well Be Spring,Index; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itmightaswellbespring,It Might as Well Be Spring,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itsyouornoone,It's You Or No One,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,itsyouornoone,It's You or No One,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,jodygrind,"Jodie Grind, The",survey cat,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,jodygrind,The Jody Grind,chapter; residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,jumpinatthewoodside,Jumpin' At the Woodside,ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,jumpinatthewoodside,Jumpin' at the Woodside,Index; survey cat,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,jumpinatthewoodside,Jumpon' At The Woodside,log,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,jumpinwithsymphonysid,Jumpin' With Symphony Sid,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,jumpinwithsymphonysid,Jumpin' with Symphony Sid,ranking; residue C; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,justsqueezeme,Just Squeeze Me,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,justsqueezeme,Just Squeeze Me (But Don't Tease Me),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ladyisatramp,The Lady Is A Tramp,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,ladyisatramp,The Lady Is a Tramp,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,letsfallinlove,Let's Fall In Love,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,letsfallinlove,Let's Fall in Love,ranking; residue C,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,likesomeoneinlove,Like Someone In Love,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,likesomeoneinlove,Like Someone in Love,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,lonelywoman,Lonely Woman,chapter; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,lonelywoman,Lonely Woman (Silver),residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,loveforsale,Love For Sale,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,loveforsale,Love for Sale,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,loveisheretostay,Love Is Here to Stay,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,loveisheretostay,Our Love Is Here To Stay,log; log 201,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,loveisheretostay,Our Love is Here to Stay,survey L2; survey graded,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,loverman,Lover Man,Index; log; log 201; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,loverman,"Lover Man (Oh, Where Can You Be)",ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,lullabyofbirdland,Lullaby Of Birdland,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,lullabyofbirdland,Lullaby of Birdland,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,macktheknife,Mack The Knife,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,macktheknife,Mack the Knife,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,manhadecarnaval,Black Orpheus,log; log 201; survey L1; survey graded,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,manhadecarnaval,"Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)",Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,meantome,Mean To Me,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,meantome,Mean to Me,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,mercymercymercy,Mercy Mercy Mercy,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,mercymercymercy,"Mercy, Mercy, Mercy",Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,milestones,Milestones,log; log 201; ranking,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,milestones,Milestones (modal -,Index,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,milestones,Milestones (new),survey L2; survey graded,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,milestones,Milestones (old),chapter; residue B,normalization,fold to match_key,one composition printed 4 ways across the sources
variant form,misterpc,Mr P.C.,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,misterpc,Mr. P.C.,Index; chapter; survey L1; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,moanin,Moanin,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,moanin,Moanin',Index; log; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,moonlightinvermont,Moonlight In Vermont,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,moonlightinvermont,Moonlight in Vermont,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,myfavoritethings,My Favorite Things,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,myfavoritethings,My Favourite Things,log; log 201,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,myoneandonlylove,My One And Only Love,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,myoneandonlylove,My One and Only Love,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,nearnessofyou,"Nearness of You, The",survey L2; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nearnessofyou,The Nearness Of You,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nearnessofyou,The Nearness of You,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nightandday,Night And Day,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,nightandday,Night and Day,Index; log; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,nighthasathousandeyes,"Night Has a Thousand Eyes, The",survey L2; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nighthasathousandeyes,The Night Has A Thousand Eyes,log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nighthasathousandeyes,The Night Has a Thousand Eyes,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nightintunisia,Night In Tunisia,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nightintunisia,Night in Tunisia,Index; ranking; survey L1,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nightintunisia,"Night in Tunisia, A",survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,nomoreblues,Chega De Saudade,log,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,nomoreblues,No More Blues (Chega de Saudade),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,nowsthetime,Now's The Time,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,nowsthetime,Now's the Time,Index; ranking; survey L1; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,onaslowboattochina,On A Slow Boat To China,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,onaslowboattochina,On a Slow Boat to China,ranking; residue C,normalization,fold to match_key,one composition printed 2 ways across the sources
